,Unnamed: 0,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name
68,68,0.311,0.47600000000000003,187660,0.888,227kK7zchuhbuF5gWO24zJ,0.0,9,0.255,-5.409,1,0.0919,107.485,4,0.9420000000000001,Chris Back,187659,0,2018,2018-03-28,Margarita
69,69,0.00494,0.336,311066,0.597,4jGJXuDiq6S92N99O6ruCg,0.000195,2,0.973,-11.717,1,0.0624,82.691,4,0.34299999999999997,Samvel Ayrapetyan,311066,0,2018,2018-09-15,Kashmir
70,70,0.597,0.594,238067,0.324,4r80lH9XYd2o5OfrnagARA,0.0,1,0.8370000000000001,-19.27,1,0.9520000000000001,164.57299999999998,5,0.429,Giannis Fertis,238066,1,2002,2002-12-17,I Poria Pros To Metopo - Live
71,71,0.0083,0.433,705465,0.968,79JoGViiBR0UuvD84XiX5e,2.54e-05,8,0.0821,-4.553,0,0.27399999999999997,139.815,4,0.34299999999999997,Lothlöryen,705465,1,2014,2014-02-28,Unfinished Fairytale
72,72,0.33899999999999997,0.374,66307,0.9690000000000001,4PdMsFwxzgAeRJYNnnHl3W,0.0462,9,0.2,-3.7689999999999997,1,0.155,172.77900000000002,4,0.708,Fred Banana Combo,66306,0,2015,2015-08-28,Idi Amin - The Best Of The Old Shit
73,73,5.6000000000000006e-05,0.662,348024,0.76,4ErdWlYC6TuE0Cnc6fhDrH,0.00933,6,0.11599999999999999,-10.79,0,0.0462,130.033,4,0.301,Blacktee,348023,0,2011,2011-05-24,Plasmid
74,74,0.7559999999999999,0.461,171000,0.38299999999999995,11mSK6mMeWLoMXYt9QTz8C,0.0,9,0.114,-9.092,0,0.0285,115.616,3,0.22,Chico Buarque,171000,9,2012,2012-02-07,Bárbara
75,75,0.0454,0.932,389591,0.516,4f5h0fdmZLFjbrNpHMOuhu,0.816,8,0.183,-12.386,1,0.18899999999999997,120.0,4,0.29,Za__Paradigma,389591,0,2017,2017-04-08,Our Caste
76,76,0.0011,0.7979999999999999,430325,0.745,66bToB10o14kOIxeEP7hWn,0.856,10,0.0961,-9.81,0,0.0614,125.051,4,0.287,Andre Luki,430324,0,2019,2019-02-25,Serum
77,77,0.19399999999999998,0.585,198400,0.45799999999999996,2Zh1gwbqACEPVgehB3mFxP,0.493,4,0.131,-10.243,0,0.0315,157.946,4,0.823,Peter Bennborn,198400,0,2015,2015-09-23,Cool Cucumber
78,78,0.584,0.613,205994,0.402,05lQFs5oHy3ksr49ANKajM,0.0836,2,0.0816,-11.059000000000001,1,0.0273,119.98200000000001,4,0.377,Sara Veneros,205994,0,2012,2012-10-04,Guerra civil
79,79,0.6659999999999999,0.725,425352,0.299,3cEg4VjuWWX4bJJgXUoFTt,0.00045700000000000005,8,0.0852,-10.354000000000001,1,0.0313,111.522,4,0.45,Tubby Hayes,425351,1,2018,2018-11-15,A Pint of Bitter
80,80,0.0491,0.89,224367,0.51,1PmFJyA3QCwFYNF29IZ5Ed,0.0,11,0.0629,-6.9639999999999995,1,0.327,128.09799999999998,4,0.392,Kurt Diggler,224366,0,2012,2012-04-07,Im Wining (feat. Two the Hard Way)
81,81,0.365,0.685,129959,0.6629999999999999,0a3Qs3tZIcvfnFQXANWqRi,0.8440000000000001,9,0.0649,-8.035,1,0.14300000000000002,182.722,4,0.812,Sing Karaoke Sing,129959,0,2012,2012-10-10,Rock Around the Clock (Karaoke Version) - Originally Performed By Bill Haley and the Comets
82,82,0.0558,0.606,200000,0.685,7Jein1mYFjd7obZIwYd08i,0.48,9,0.0653,-4.362,1,0.221,159.482,4,0.61,Shaun D. Rosenberg,200000,0,2017,2017-06-05,Jacked
83,83,0.703,0.68,75093,0.34299999999999997,3GvxuY3UiZXNwg4RxUYgYy,0.0,11,0.165,-15.324000000000002,0,0.929,75.512,3,0.479,Jeff & Paige,75093,2,2013,2013-05-18,Planning the Adventure
84,84,0.0813,0.321,112837,0.998,3A0tfHzSi0NABJN0y56m96,0.542,1,0.209,-9.908,1,0.0923,120.866,4,0.0345,URBAN BOSQUE,112836,0,2017,2017-03-27,Urban Bosque
85,85,0.063,0.46399999999999997,393424,0.47600000000000003,6kLDkiBezZH17haH4m0hsz,0.7490000000000001,10,0.657,-11.865,0,0.0531,157.781,4,0.584,BeraadGeslagen,393424,19,2018,2018-10-26,Bikini
86,86,0.5870000000000001,0.35700000000000004,234919,0.9990000000000001,4knMIrRjRuO25y05J1QFXu,0.977,1,0.654,-17.877,1,0.113,112.02600000000001,4,0.0123,Rain for Sleep,234918,0,2016,2016-06-28,There is Rain Forecast
87,87,0.013000000000000001,0.747,254579,0.9059999999999999,33SJusjkBhsM1p9eGUy2Mt,0.5539999999999999,9,0.155,-3.7569999999999997,1,0.133,140.015,4,0.242,FNTN,254578,0,2017,2017-10-12,Technique
88,88,0.33299999999999996,0.669,209781,0.595,4cpzWFvkgiTmC6RFJbkTms,5.56e-06,2,0.133,-7.375,1,0.0508,117.101,4,0.703,Les Fils du Facteur,209781,17,2018,2018-04-20,Quand Tu T'en Vas
89,89,0.00018700000000000002,0.51,286031,0.833,5iwwHTZC6iGIHZD0QHUg5M,2.23e-05,8,0.11,-6.805,0,0.0486,138.02100000000002,4,0.209,Lost In Atlantis,286031,0,2013,2013-04-02,Soaring
90,90,0.107,0.621,210333,0.778,33Q6VRGJrnJt3Mk6eGIA1T,0.772,0,0.10300000000000001,-6.235,1,0.0251,113.16799999999999,4,0.585,Les Chiens,210333,0,2003,2003-01-01,Avoir ce qu'il faut
91,91,0.632,0.637,231896,0.317,7LzTqGq0OepoWU7SONDosB,0.0,2,0.0924,-11.825,1,0.0347,102.09700000000001,4,0.5529999999999999,The Bastard Brothers,231896,0,1994,1994-01-09,I Can See Clearly Now
92,92,0.0753,0.672,202120,0.715,3EOCNmOOpglN3JFrMdD1jo,0.0,4,0.226,-7.489,1,0.245,154.377,3,0.723,Anonimous,202120,0,2009,2009-11-10,Rollin' Rainier (feat. Sir Mix-a-lot)
93,93,0.855,0.268,270200,0.214,5ssFChNXF25OY5pz7BaF8z,2.23e-05,9,0.455,-14.545,0,0.051,81.885,4,0.331,Joan Manuel Serrat,270200,0,2003,2003-10-27,Pare
94,94,0.0008359999999999999,0.647,260284,0.85,2YhwruF3P9xGPU22Y0qCny,0.00035,7,0.321,-6.357,1,0.0783,132.025,4,0.11900000000000001,Feel,260284,0,2016,2016-11-21,Did We Feel - Whiteout Remix
95,95,0.000615,0.446,148987,0.924,15nBJZVL3fUNl94z8WnQgX,0.327,2,0.386,-5.244,1,0.0689,104.007,4,0.607,Blacklight Poster Children,148986,0,2009,2009-05-12,Blacklight Poster Children Theme
96,96,0.845,0.648,183458,0.092,6KXAKhHNyLL1CYrkrizBS0,0.0,2,0.23600000000000002,-17.18,1,0.03,102.296,3,0.531,Studio Group,183457,0,2012,2012-03-13,Shake Hands With Mother Again
97,97,0.815,0.207,152917,0.374,0NBHoQCNAlQZoTYrnvZuXT,0.8809999999999999,1,0.308,-22.671999999999997,1,0.0952,137.135,4,0.0937,432Hz Yoga,152916,18,2015,2015-10-30,Feeling of Calmness
98,98,0.019,0.564,419538,0.976,2gpTgU6wKcTat6i1KdJ2A7,0.8590000000000001,9,0.12,-9.314,1,0.071,131.00799999999998,4,0.0956,Sandro Galli,419538,0,2013,2013-09-26,Pyramid
99,99,0.0212,0.501,234069,0.831,06nCAKNM5c7tucRYhVkZoQ,0.0077599999999999995,9,0.132,-8.283,0,0.0431,128.03799999999998,4,0.39799999999999996,Stax Osset,234068,2,2014,2014-11-29,Symmetry
100,100,0.149,0.46399999999999997,325676,0.62,0DUvL3ndMBZYFLqvwCk4cn,0.107,4,0.63,-6.39,1,0.0336,130.05200000000002,4,0.139,Foreignfox,325675,5,2017,2017-06-30,Bonfire
101,101,0.292,0.742,219400,0.867,3mO7vMNP59JpMUhQfFAeCP,0.0,9,0.131,-4.49,1,0.32899999999999996,84.992,4,0.7190000000000001,Dark Half,219400,12,2014,2014-07-23,So Far Gone (Flatline Ft. Dark Half)
102,102,0.7,0.6990000000000001,215980,0.43200000000000005,6aHDdsdggOaNt2SaWwGzzP,0.0,6,0.1,-10.775,0,0.486,79.979,4,0.594,Lilmanmanthebassgod,215980,0,2018,2018-12-09,Balenciaga
103,103,0.27899999999999997,0.721,136086,0.203,2eex5CrpKqwyu13oR5Kk2m,0.0,8,0.297,-17.934,1,0.9490000000000001,118.49600000000001,4,0.397,Elena Favilli,136085,6,2018,2018-10-26,"Good Night Stories for Rebel Girls - 100 außergewöhnliche Frauen, Kapitel 5"
104,104,0.397,0.6759999999999999,236356,0.21899999999999997,6mURgAYRnGDpyAU0rTYHXO,0.0,1,0.264,-16.093,1,0.9179999999999999,97.742,3,0.488,Jörg Zittlau,236355,1,2018,2018-10-09,"Gandhi für Manager - Der andere Weg zum Erfolg, Kapitel 24"
105,105,0.0228,0.51,222857,0.784,1ZH6UzCEAk5iqD9ggCi5Zr,0.0,1,0.136,-5.544,1,0.052000000000000005,168.05,4,0.5820000000000001,Genka,222857,31,2018,2018-07-13,Meie Mäng
106,106,1.03e-06,0.096,103692,0.852,1KWJAUfA4F41XZTrQI5fXX,0.8809999999999999,7,0.235,-7.612,1,0.0956,169.235,4,0.37799999999999995,Human Compost,103691,1,2018,2018-04-13,Hacksaw Head Removal
107,107,0.284,0.6759999999999999,171088,0.5579999999999999,467SzTkIuEtaZVsAjsXfsu,0.0,7,0.0722,-6.497000000000001,1,0.0292,115.766,4,0.9359999999999999,Schytts,171087,7,1975,1975-01-01,Förlåt lilla vän
108,108,0.138,0.7040000000000001,437922,0.7070000000000001,44ho8syLkAvXe7ByY0lmvs,0.862,10,0.105,-9.336,0,0.0456,117.995,4,0.32799999999999996,Kieran J,437921,0,2018,2018-10-02,Color Transitions
109,109,6.08e-06,0.478,325400,0.802,6dDDqwD7InUivprMSqrmni,0.0017699999999999999,11,0.149,-6.294,1,0.0413,105.09299999999999,3,0.191,Pinnick Gales Pridgen,325400,4,2014,2014-07-08,Build It Back Up
110,110,8.01e-06,0.6579999999999999,426000,0.991,2Hd40N7KBe0EdWMZUsh0Lc,0.889,0,0.767,-10.931,1,0.0365,129.002,4,0.247,Erich Von K,426000,0,2018,2018-04-30,Logical
111,111,0.555,0.728,270307,0.8009999999999999,7nx6bmfojpAW4SCwoZM13B,0.000196,7,0.831,-12.42,1,0.0543,102.12299999999999,4,0.5539999999999999,Robbie Nevil,270306,38,1986,1986-11-01,C'est La Vie
112,112,0.7440000000000001,0.628,202014,0.289,57HQ604IdFlZSv1ohpfnRB,1.12e-06,7,0.11199999999999999,-9.637,1,0.0286,135.901,4,0.38299999999999995,Sverrir Bergmann,202013,17,2012,2012-01-01,Þar sem enginn okkur sér
