,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name
10,0.0435,0.523,215889,0.777,2iaMft2kGNAttCagOxcLUh,0.692,11,0.0495,-11.568,0,0.0297,129.009,4,0.379,2010s Karaoke Band,215889,0,2012,2012-10-28,Don't You Worry Child (Originally Performed By Swedish House Mafia) [Karaoke Audio Version]
11,0.375,0.212,129286,0.869,4rChwm7wBPgKjiSFJtuafJ,0.924,4,0.157,-7.855,1,0.0791,164.422,4,0.154,Rubythroat,129285,0,2018,2018-01-17,Red Honda Civic
12,0.153,0.652,350480,0.476,7a8YvXFewEDAu6Ci78pOze,0.294,1,0.115,-8.953,1,0.0435,82.987,4,0.587,YYoga Community,350480,0,2011,2011-03-25,"Taking Me Higher (Remix) (Feat. Rhodes & Keys: Aileen De La Cruz, Ground Beat: Kris Bentz, Remix/ Sitar: Steve Yee Of The Slanted Room Studio, Trumpet: Malcolm Aiken & Lead/ Producer: Tamara Rhodes)"
13,0.208,0.492,183347,0.602,5zrpUaZDoPNuhDJMDyHyEV,0.000276,5,0.0752,-6.33,1,0.036,158.576,4,0.892,Quantrells,183346,17,2007,2007-09-11,Can't Let You Break My Heart
14,0.184,0.691,273438,0.731,20eBqWJnLoGcP0XJ6xaiF6,2.16e-06,2,0.172,-9.584,1,0.0268,127.132,4,0.813,Pictomusic,273438,0,2008,2008-07-01,Maggy May - Karaoke Lead Vocal Version
15,0.45,0.51,69016,0.404,7lOZ16Y7hnw3rGzVtX93ZN,0.0,5,0.0926,-7.679,1,0.223,96.148,3,0.578,Personal Hypnosis Programs,69015,0,2012,2012-07-28,Internet Idol - The Internet Marketing Domination Series 1
16,0.249,0.81,248713,0.471,51omdB40QNhmhrr7WtEyLl,0.0,11,0.331,-13.393,0,0.505,137.827,4,0.623,Macc Dundee,248712,0,2016,2016-06-16,Ooh Wee (feat. Gladiator)
17,0.000264,0.68,126494,0.789,3MeQEYeOPBZvhQ9xWZcd3I,0.855,9,0.104,-10.642,0,0.0412,124.998,4,0.0396,Phonic Quarter,126494,5,2018,2018-07-23,Indulge Me
18,0.905,0.652,68571,0.137,1yZAYAju0jppsCrBxHT6DI,0.831,0,0.171,-31.829,1,0.0326,111.984,4,0.407,Thomas Leypoldt,68571,0,2015,2015-03-22,Quirky
19,0.972,0.393,641707,0.149,5grrIfm2ObVWTD4UOtalsA,0.144,2,0.0699,-18.144,1,0.0542,112.677,4,0.122,Miklós Lukács,641706,0,2016,2016-04-29,"Tzigane, M. 76 (Rhapsodie de concert)"
20,0.141,0.723,237373,0.589,4yjzMTAw0T36JRFSsxTnKA,0.0,1,0.145,-8.275,1,0.183,90.932,4,0.8,Artists Over Industry,237373,0,2006,2006-01-01,Potential
21,0.988,0.155,279798,0.0853,7BXeKBZVeUBIxa72VxnnRC,0.0647,0,0.137,-19.859,1,0.0395,60.07,4,0.057,Salt Lake Choral Artists,279797,0,2009,2009-07-14,Gethsemane
22,0.91,0.621,107760,0.527,40JVVkd95DJXOBfz6OQK31,0.0,9,0.367,-11.249,0,0.099,106.225,4,0.914,Robert Preston,107760,0,2008,2008-05-05,The Sadder But Wiser Girl
23,0.0053,0.696,335867,0.878,6nxQjAVY5RPCDjxqw71YZr,0.258,11,0.233,-5.303,0,0.0381,108.615,4,0.885,O Rappa,335866,36,2012,2012-04-23,Mar de gente
24,0.000117,0.782,380927,0.73,2YIQpGuOcYCYBrLMyh9LeC,0.907,10,0.0625,-8.292,0,0.047,128.009,4,0.0672,Peter Brown,380927,0,2012,2012-05-31,Da Beat! - Brown Sneakers Remix
25,0.62,0.354,195293,0.418,49rnF8WMmQN2GmUUXXqqeb,0.000392,8,0.0548,-12.234,1,0.051,181.069,4,0.96,Diä urchigä Glarner,195293,0,2007,2007-10-30,Echo vom Kilimanjaro (Polka)
26,0.617,0.709,100336,0.102,3JaFpAN4nYDwnRGTlnewan,5.43e-05,0,0.134,-23.937,1,0.039,125.008,4,0.561,Amy Samu,100336,9,2016,2016-07-29,On Top of Old Smoky
27,0.678,0.453,341893,0.547,4KIdGQmjEzPeOO7AwqQjW1,0.0771,1,0.144,-10.408,1,0.0288,107.899,4,0.538,Denny Zeitlin Trio,341893,0,1998,1998-01-01,Cousin Mary
28,0.972,0.0983,213000,0.0234,7oMM4y1ZBj8rwPEZpVSrZh,0.961,4,0.0889,-32.079,0,0.0522,74.436,4,0.0545,Brain Power Academy,213000,20,2017,2017-08-23,Super Intelligence: Study & Concentration
29,0.237,0.5,159493,0.571,1igIRXtZmclF0kwa0es1G0,0.0,7,0.281,-8.232,1,0.0707,168.097,4,0.324,Sahiro,159493,0,2005,2005-05-09,Mabel
30,0.418,0.462,243627,0.73,55BtXFyiZudDfjYlJAuOm1,0.000126,11,0.201,-5.731,0,0.0336,78.971,4,0.618,Kelli Schaefer,243626,9,2010,2010-01-01,City Morgue
31,0.864,0.495,187200,0.187,61U8fwutrVTquNmliL2AO6,0.0,8,0.0441,-11.353,1,0.0952,83.951,3,0.501,Colette Renard,187200,0,2010,2010-10-26,Les Moeurs
32,0.0186,0.574,123667,0.876,2QepM9QuF0krcPllLwMPuX,0.744,2,0.172,-14.563,1,0.0411,132.008,4,0.495,Cliff Martinez,123666,11,2014,2014-11-04,A Sermon of Bullets
33,0.832,0.646,155973,0.473,1pkp29giPYewSIXd0UQKUf,0.741,7,0.106,-15.284,1,0.0262,133.966,3,0.0732,Eric Vain,155973,0,2007,2007-08-29,Statement Of My Sickened Nature
34,0.00177,0.595,264000,0.864,1ubcYq16txxJaYtu6TSSRF,0.92,11,0.357,-8.099,1,0.0955,175.0,4,0.0867,Fusion Wake,264000,0,2016,2016-05-06,The Spirit Molecule - Original Mix
35,0.00671,0.784,415000,0.649,4ETGjWeBvuaLFg2KGJfO5D,0.905,1,0.0975,-12.777,1,0.0391,118.0,4,0.501,Eczema,415000,1,2018,2018-08-27,Synthetics of Dreams - Vigil Coma Remix
36,0.704,0.405,184760,0.796,1UhgsHkm5i8x2bnRATZKqf,0.000302,11,0.446,-6.046,0,0.0461,98.237,4,0.564,Aziz Türk Sanat Müziği Grubu,184760,0,2016,2016-01-20,Bir Dalda İki Kiraz - Canlı Fasıl Müziği
37,0.00185,0.517,203102,0.356,5MFEh4OW5FwUTZFKwjx04f,0.913,3,0.118,-9.945,1,0.0277,82.013,4,0.26,David Flavin,203102,0,2015,2015-10-14,Sabrina
38,0.337,0.674,186921,0.587,3ypTsmsgUVPWK4AtDeSuf6,0.0,7,0.112,-9.953,1,0.242,166.763,4,0.662,Ekrem Yıldız,186920,0,2003,2003-09-17,Hay Le Gule
39,0.873,0.706,62769,0.397,08sHOdQtf9dd6a2wCC0e6z,0.856,11,0.0863,-14.347,1,0.235,129.992,4,0.751,Classic Hits On Piano,62769,20,2019,2019-03-03,Can We Fix It? (Bob the Builder Theme Song)
40,0.00102,0.371,294000,0.894,4rt1nkMmwODuIyreZHNFNq,0.739,11,0.168,-4.607,0,0.0653,99.966,4,0.31,Mortal Clay,294000,0,2005,2005-07-11,Mortal Clay
41,0.992,0.189,62107,0.257,1yz8AzMJTzksp3IqmqnAG2,0.778,0,0.276,-15.34,0,0.0332,169.806,4,0.113,Domenico Cimarosa,62106,0,2011,2011-03-10,"Mors Stupebit. Per coro, archi"
42,0.000487,0.362,100053,0.984,5VDdxWiQQnFvlfblxj96SQ,3.23e-05,2,0.105,-5.503,1,0.18,132.055,4,0.106,Fertil Miseria,100053,4,2018,2018-06-29,Profeta Politico
43,0.718,0.545,271560,0.377,3RHyYol80p26zstHQ1tlXz,0.00291,0,0.167,-10.89,1,0.0372,134.581,4,0.832,Sonia Atieh,271560,0,2014,2014-06-06,Shou Baddi
44,0.206,0.619,220173,0.791,4CXiGzorrNOVjCAJqJXVPy,1.51e-05,0,0.148,-6.067,1,0.0292,125.303,4,0.702,Russell Crowe,220173,32,2015,2015-05-29,How Did We Get from Saying I Love You?
45,0.969,0.239,66616,0.0366,0MUwcyPerVHhFditjfYaSM,0.968,7,0.0873,-36.337,0,0.0392,72.045,3,0.115,Nicolas Errera,66616,3,2016,2016-01-01,The Mute
46,0.696,0.484,330493,0.0871,3esnxjFxtFM33BaS7yGguO,0.0114,4,0.0791,-16.81,1,0.0416,76.893,4,0.256,Marc Berger,330493,0,2011,2011-06-20,"Heavenly Ancients (feat. Mike Ricciardi, Eric ""Roscoe"" Ambel, Rich DePaolo, Oscar Merlo & Alex Specker)"
47,0.442,0.523,183920,0.569,11P1S9OichgyHjcqsh6kmv,0.0,7,0.151,-10.897,1,0.0274,96.277,4,0.669,Brandon Castle,183920,0,2014,2014-04-07,"Green, Green Grass of Home"
48,0.927,0.152,880176,0.00946,27frpgWEJfqsxebMYewPJW,0.227,7,0.126,-27.033,1,0.0424,73.131,3,0.0368,Franz Liszt,881266,1,1995,1995-07-14,"Hamlet, S. 104"
49,0.528,0.631,124600,0.253,0HivS2XFbtKvrkA1KMpBCS,0.0,7,0.386,-19.083,0,0.945,166.409,4,0.67,Ralph Slater,124600,0,2012,2012-01-14,Chapter 39 - Hypnotism and Self Practice
50,0.675,0.448,197213,0.465,3LIU0kbcZ19EJ8GvU7NckI,2.33e-05,8,0.256,-5.601,1,0.0406,149.876,4,0.422,Jordan's Bridge,197213,0,2014,2014-05-13,The Writer
51,0.978,0.401,358711,0.155,0hF4yBlVsoiN6nqMPtYdYA,0.92,0,0.292,-19.517,1,0.042,72.497,4,0.311,Wolfgang Amadeus Mozart,358710,0,2013,2013-10-03,"Quartet No. 19 in C Major, K. 465 (""Dissonant""): IV. Allegro"
52,0.575,0.765,86355,0.23,2hfThi2LoYCnvPKhe2AmZq,0.0,8,0.226,-14.552,1,0.885,111.862,5,0.39,Kev Orkian,86355,0,2014,2014-04-28,Armenian Survey
53,0.964,0.447,128006,0.192,0zse4RWRfYa8hfUkZtaYyi,0.894,10,0.114,-18.032,1,0.0396,111.324,3,0.374,Dinner Jazz Deluxe Ensemble,128005,5,2017,2017-11-23,Exquisite Jazz Bgm for for Relaxed Dinner Moments
54,0.688,0.64,459387,0.51,3N4JLwFWrPlT10JAuKw0oU,0.000219,8,0.331,-10.349,1,0.0381,91.02,4,0.841,Tej Karan Rao,459386,0,1995,1995-01-01,Mhare Ghar Mein Hoto Toto
55,0.659,0.776,190067,0.326,4Q3uqidsENs4rrPvOSrOq5,2.07e-05,4,0.621,-16.934,1,0.0512,83.191,4,0.881,Anon,190066,0,2009,2009-02-16,Les Lettres de mon Moulin - Les sous prefet aux champs
56,0.88,0.374,497107,0.327,3I8LFmWMnOxlMCngPUZooa,0.932,11,0.103,-17.086,0,0.0346,92.933,4,0.157,Peter Knudsen Trio,497106,0,2008,2008-12-01,Forlane from Le Tombeau De Couperin
57,0.996,0.595,111133,0.0981,6ggoWHpyjbpRSUn4eoBuG5,0.9,1,0.108,-30.948,1,0.0713,140.888,4,0.327,Simeon ten Holt,111133,1,2012,2012-01-01,Canto Ostinato for Four Pianos: Section 92
58,0.983,0.0,106200,0.00678,3PFiDht8kwyEnhz5Xkbofv,0.929,11,0.15,-23.806,1,0.0,0.0,0,0.0,Marin Marais,106200,0,2002,2002-01-01,Suite en do: Menuet pour viole et guitare
59,0.977,0.42,382320,0.107,72ppN7LpX3EZpmLiw1GIe5,0.838,0,0.106,-18.01,1,0.0458,124.114,4,0.15,Quintessence Saxophone Quintet,382320,0,2002,2002-01-01,"5 Variations in D Major on Rule Britannia, WoO 79 (arr. U. Lettermann): Variations on Rule Brittania WoO. 79 (after Wellingtons Sieg oder Die Schlacht bei Vittoria, Op.91)"
60,0.306,0.629,158627,0.673,2SrJLVXVXqfX06gN408Jje,0.0,4,0.16,-5.176,1,0.0331,175.039,4,0.908,John Wesley Harding,158626,0,2010,2010-11-30,Sick Organism
61,0.669,0.627,122027,0.324,3qkEF2dV9UI6LXVt83J4lF,0.0,2,0.559,-12.753,0,0.942,82.741,4,0.527,Quiz Worx,122026,0,2011,2011-04-30,"Puppet Antics: Scruff & Ben ""Melt Some Faces"""
62,0.434,0.438,201227,0.338,2mZYFhznY8weTSd88D9jPV,3.35e-05,10,0.111,-10.468,0,0.0369,79.7,4,0.367,Carrington,201226,0,2012,2012-01-01,Taking Off
63,0.0301,0.603,238120,0.791,0zYFU9ztNfR1fV3xY7VTdH,0.0117,0,0.101,-7.128,1,0.116,179.939,4,0.576,Aesop Rock,238120,40,2012,2012-07-10,Gopher Guts
64,0.00634,0.822,341525,0.999,0gxaatY8K1pOLTCwvcECTE,0.12,0,0.0818,-5.805,1,0.0431,135.993,4,0.734,Le Clique,341524,0,2012,2012-12-14,"A, B, C - Original Mix"
65,0.204,0.467,174933,0.565,2jFod4nbLqhM8EZeJK07Pu,0.0,9,0.0977,-11.999,1,0.0608,146.027,4,0.653,Odair Jose,174933,12,1995,1995-01-01,Minha Juventude
66,0.905,0.559,185679,0.264,7jObZSV6zCmua31e7IedLc,0.002,0,0.377,-14.104,1,0.0481,141.007,4,0.484,Douglas Evans,185678,0,2017,2017-01-11,Mouth Moths
67,0.789,0.383,366427,0.33,4WDBPTwSEASPHT4oXFov4R,5.42e-05,8,0.276,-10.351,1,0.0387,143.615,3,0.356,Alireza Eftekhari,366426,0,2008,2008-01-01,Sar Geran
68,0.182,0.757,146300,0.46,1Ppjt19yynu9L2DwxB1s1b,0.0,0,0.141,-9.365,1,0.51,105.671,4,0.278,Marliese Arold,146300,2,2011,2011-01-01,Kapitel 1 - Magic Girls. Späte Rache
69,0.483,0.232,317587,0.274,5dDuw9uXpv9En7ZO3atDbC,4.84e-05,9,0.0927,-10.294,1,0.0316,67.008,3,0.131,Daniel Crews,317586,0,2011,2011-06-13,Written In Red
70,0.616,0.625,245827,0.412,4YpfHhIzNM3etkjPHcawPG,0.000357,3,0.0875,-7.021,1,0.0305,124.262,4,0.181,Dear Reader,245826,21,2009,2009-02-20,Great White Bear
71,0.746,0.562,146267,0.446,4EgSji8Ac0AEzeU39HEK4j,6.47e-05,0,0.128,-15.905,1,0.0331,138.901,4,0.954,The Holy Modal Rounders,146266,1,2005,2005-01-01,Melinda
72,0.0552,0.849,204733,0.22,4fBFz0vDavpTfyuXCcgHze,0.0,0,0.0853,-19.516,1,0.559,164.072,4,0.762,5-Star General,204733,0,2016,2016-04-02,Runaway When We Click Clack
73,0.842,0.49,218973,0.243,5YiKGqrrgAc1lM6IldSE2l,0.0,5,0.104,-8.659,1,0.0401,122.54,4,0.188,Les derniers Trouvères,218973,4,2014,2014-03-21,La quête du graal
74,7.42e-05,0.408,188918,0.816,4hoHmh15864XUwCM0Dzfzt,0.922,8,0.248,-9.781,1,0.0304,157.115,4,0.885,The Greatest Bits,188917,15,2018,2018-11-09,"Stage Select 1 Theme (from ""Mega Man 11"")"
75,0.952,0.167,249942,0.0616,0zZXif2ivILaLgT9l4pFu9,0.941,5,0.11,-20.46,1,0.0416,127.977,4,0.0398,Relax Meditate Sleep,249941,0,2017,2017-05-13,Stress Reducing
76,0.0257,0.718,165667,0.672,6jg6Qs7QZuLIP4TNsu3jMh,0.921,1,0.123,-11.085,1,0.0615,90.016,4,0.551,Hoboken,165666,0,2015,2015-08-14,Lampedusa Lounge
77,0.981,0.863,60080,0.214,4YeaJwY4r2ONUXWZHhcMPo,0.000877,7,0.108,-10.268,1,0.359,129.318,3,0.982,David Allard,60080,0,2018,2018-08-10,The North Wind Doth Blow
78,0.292,0.486,256853,0.427,1kGkmn7ptzNY7PalaoFcew,0.0,7,0.602,-9.354,1,0.027,139.986,4,0.223,Jacqlien Celosse,256853,2,2003,2003-01-01,Lebih Dari SegalaNya
79,0.742,0.718,166430,0.246,0NGhX3uB1NjDKXWHWfQZnq,0.0,10,0.285,-15.37,0,0.947,107.323,4,0.544,Xiuhtezcatl Martinez,166429,0,2017,2017-09-05,"We Rise - The Earth Guardians Guide to Building a Movement That Restores the Planet, Chapter 121"
80,0.000793,0.625,156502,0.916,1DKLyLRckbSoWrv9iK0BUq,0.0,7,0.166,-2.858,1,0.052,132.001,4,0.873,Fruto Sagrado,156502,21,2005,2005-05-15,A Volta dos que não Foram
81,0.673,0.699,299400,0.806,10c5f0NEDbqIwbcNV33tet,0.00226,7,0.0959,-9.628,1,0.0522,99.053,4,0.345,Sergio Godinho,299400,12,2017,2017-12-01,Aos Amores
82,0.441,0.718,387920,0.533,6Ze29PrNLNN5n56JIxgdKE,0.0,8,0.135,-9.289,1,0.928,116.763,3,0.583,Derek Landy,387920,14,2009,2009-01-01,Skulduggery Pleasant - Die Diablerie bittet zum Sterben (Folge 3) - Kapitel 45
83,0.725,0.489,213275,0.312,2qMN8K6yrB9gti7Lz9LJAr,0.000308,4,0.103,-10.509,1,0.0307,119.748,4,0.0559,Nilson Junior,213275,0,2017,2017-04-26,Sinto Tanta Falta
84,6.74e-05,0.395,247267,0.902,3nczXAfW7ZXnFcKWVRQFZd,2.72e-05,4,0.625,-5.852,1,0.0348,132.808,4,0.415,Barathrum,247266,8,2000,2000-01-01,Bride Of Lucifer
85,0.13,0.619,172907,0.768,09v1Fo34WE42ZogWhj83Kb,0.822,9,0.109,-8.439,1,0.0711,105.809,4,0.758,The Ben Prevo Band,172906,1,1999,1999-01-01,Tossed Twice
86,0.108,0.468,149211,0.833,3p9w2gaGKzGdumiQuIkkkY,0.0,1,0.323,-2.885,1,0.149,110.813,4,0.743,T-Mission,149211,0,2018,2018-02-16,Pre-Praise
87,0.793,0.512,532840,0.2,7FR6yCpUMGzGn1wVJCFKvY,0.623,8,0.126,-22.688,1,0.0366,106.484,4,0.398,Ted Sirota's Rebel Souls,532840,0,2000,2000-01-01,Hemiola
88,0.895,0.337,247036,0.119,4BX2AjJMKPTvZ2Y9KrEF7T,5.59e-06,9,0.0944,-18.316,0,0.0413,84.282,3,0.0749,Mikuskovics Baum,247036,0,2013,2013-09-22,Es geht ein dunkle Wolk herein
89,0.047,0.52,295549,0.979,3kPMaGCi0lPPcPW3vxXsTd,0.89,10,0.762,-6.81,0,0.0892,147.006,4,0.36,Noiseshock,295548,1,2013,2013-06-24,Unstoppable
90,0.917,0.554,134634,0.299,0ddenehRiYru2YFXrQE2ek,0.894,0,0.127,-18.176,0,0.0705,163.964,4,0.0753,Ibiza Lounge Club,134634,0,2018,2018-03-21,Breezing Through
91,7.95e-06,0.16,117983,0.91,1T95dUQG3afokWCSZEbX5P,0.399,1,0.407,-4.975,1,0.0969,157.918,4,0.558,Without,117982,0,2016,2016-06-30,Dissolution Of Self
92,0.225,0.684,295172,0.228,2mQZbz07LXRYVtiW15sB6t,0.852,11,0.384,-10.983,1,0.0902,174.059,4,0.0382,Splinter,295172,0,2018,2018-06-29,Bitten
93,0.263,0.519,166995,0.444,5ieQJC5rpyVUjf5HcaEZem,0.0402,9,0.172,-9.721,0,0.0417,115.112,4,0.298,Kareful,166995,13,2016,2016-01-22,Humid
94,0.935,0.592,150137,0.21,0GrJAtaCk7vKa5W2d3im8C,0.00108,8,0.144,-8.908,1,0.0387,98.305,4,0.688,Anna Fritz,150137,0,2014,2014-07-23,Caleb Meyer
95,0.895,0.321,204933,0.207,0GumnV65e3f95U4OxX3blP,0.0239,11,0.0629,-18.909,1,0.034,109.268,4,0.662,Andrea Gabrieli,204932,0,2006,2006-01-01,Pass´e mezzo antico
96,0.966,0.292,184253,0.09,0iBy6uITUZLrj19B8u1iq7,0.0016,6,0.0842,-25.15,0,0.0497,113.12,3,0.0375,Thea Musgrave,184253,0,2012,2012-04-01,Songs for a Winter's Evening: No. 1. I am my mammy's ae bairn
97,0.393,0.784,205061,0.437,6kNb4MuZqTOkxcoxzkgnJl,8.31e-06,0,0.117,-10.963,1,0.147,120.108,4,0.0388,Llensy Cardigan,205061,4,2018,2018-02-03,Me Llama
98,0.412,0.413,264419,0.694,1HUWdGjbnYTldSQLMAB2Pw,0.00174,9,0.0919,-9.526,0,0.06,160.129,4,0.677,tomatoband,264418,0,2018,2018-05-14,Playing Ketchup
99,0.196,0.712,289373,0.91,3lVZi163UlgmyUlWAXwbkD,0.000424,1,0.168,-4.747,1,0.0469,118.817,4,0.857,Whitney Houston,289373,34,2007,2007-10-29,I Wanna Dance with Somebody - Single Version
100,0.462,0.334,200046,0.246,4sqvTmfqHeAc73NusvFIEo,0.918,9,0.115,-16.994,0,0.0307,180.009,3,0.0512,Deep Sleep Meditation,200045,0,2016,2016-10-03,Safety Net
101,0.704,0.436,269933,0.601,63LA7CJHjuaPACvXY7unRf,0.0,0,0.289,-5.553,1,0.0512,137.77,3,0.484,Soulscript,269933,0,2016,2016-08-29,Katrina
102,0.0417,0.538,314559,0.355,2dB7IaMbxeYMkrRcsO8KHZ,5.22e-06,2,0.093,-9.151,1,0.358,170.087,4,0.206,Capricanno,314558,0,2018,2018-01-19,Disney Villain
103,0.24,0.711,289080,0.74,2UwafSOldQwGSXAXm4JsBd,0.0,10,0.971,-6.695,1,0.0321,103.507,4,0.616,Percance,289080,18,2016,2016-12-23,Cómo Saber - En Vivo
104,0.00549,0.848,318750,0.935,13tpecQwz02zrwS0dN86g3,0.346,5,0.117,-5.152,0,0.0501,128.008,4,0.452,Shazalakazoo,318750,7,2012,2012-08-27,Zica Memo - Gregor Salto Remix
105,0.971,0.617,326000,0.215,2l4x5k0xqONdbzFdVK5AxY,0.0,10,0.149,-20.179,1,0.911,73.194,5,0.765,Hillary Clinton,326000,0,2015,2015-10-14,Immigration Reform
106,0.000679,0.787,411205,0.933,2lpCjS3R374HTVEvZnJfUf,0.932,10,0.135,-6.446,0,0.0821,125.971,4,0.792,Dave Tech,411205,0,2017,2017-01-17,Hardworking
107,0.102,0.61,229412,0.714,4PvuEx3r1gCiQ3SCNGIf4o,0.0022,9,0.141,-6.419,0,0.0485,84.978,4,0.658,GROB,229411,0,2016,2016-09-30,No Limit to the Honk
108,0.0275,0.356,356560,0.708,3bDr21g3E3P3pghW33dcpl,0.751,1,0.129,-5.72,1,0.0586,181.971,3,0.581,The Dirty Dozen Brass Band,356560,0,2012,2012-08-24,Git Up
109,0.986,0.315,129347,0.0319,60wRfc69vc0tMkwUo5Urfu,0.00427,0,0.0736,-25.396,1,0.0497,96.361,1,0.0647,Joseph Marx,129346,0,2016,2016-07-01,"Lieder und Gesänge, Vol. 2: Der bescheidene Schafer (The unassuming Shepherd)"
110,0.242,0.724,296471,0.367,5TDbg2LBkLTrttuoxUdQC6,0.852,11,0.141,-9.93,1,0.0767,169.972,4,0.382,Bay Area,296470,0,2015,2015-04-24,Urban Walk - Blowjob Cut
111,0.189,0.658,277427,0.577,3VO93aw7fZhxKk43pr2RTE,6.34e-06,0,0.103,-10.798,1,0.382,84.341,4,0.497,OutKast,277426,40,1996,1996-08-27,Elevators - ONP 86 Mix
112,0.00485,0.59,192026,0.578,16PKTp74rp8NIi41h2FbkD,0.0692,4,0.11,-14.896,0,0.039,130.003,4,0.0623,Rift,192026,0,2017,2017-08-29,Stranded
113,0.974,0.418,190232,0.193,2JffXw8vBix5MCJ748ic4o,0.916,10,0.0578,-15.572,1,0.0387,118.879,4,0.358,L'Orchestre de la Suisse Romande,190232,0,2012,2012-02-13,"Casse-Noisette Suite, op 71a: Minature Overture"
114,0.0161,0.676,215453,0.826,7ywUZGvT0aexrkz0WrX1Q8,5.66e-06,10,0.214,-4.321,0,0.28,81.843,4,0.668,Dainjamental,215453,16,2006,2006-07-11,Mystery
115,0.0231,0.821,265076,0.629,5sbPtxfi8nDV4wAXY0rpGT,0.0243,0,0.269,-6.669,1,0.0633,104.957,4,0.626,Adeline,265075,31,2018,2018-11-09,Before
116,2.68e-05,0.508,302667,0.957,6UZIV2FSS4sbj1rl3yYlcV,5.15e-05,2,0.125,-6.238,1,0.0546,145.992,4,0.532,Beast In Black,302666,54,2017,2017-11-03,Blind and Frozen
117,0.707,0.526,167373,0.775,59f3mwUWL0owa27RxsBgxu,2.05e-05,0,0.217,-6.05,1,0.0352,80.106,4,0.962,The Monkees,167373,4,2016,2016-11-26,I'm a Believer
118,0.000392,0.547,271726,0.711,511vZoh751PxC9aeTUCoam,0.00029,7,0.16,-6.489,1,0.0356,134.033,4,0.197,Cassette,271725,0,2007,2007-02-12,Useless Confusion
119,0.979,0.402,251360,0.325,6WlunNumvu4P0R0gSRmQ1Z,0.000133,7,0.759,-12.795,1,0.046,85.34,4,0.472,Franz von Suppé,251360,0,2017,2017-11-03,Des Matrosen Heimkehr (Sung in Italian): Alto! Fermi la!
120,0.766,0.345,128546,0.185,4xX8Mctcuz9uHgAG4szeMM,0.0,7,0.329,-14.261,1,0.0521,162.228,5,0.771,The Holy Quran (Koran) from QuranNow,128545,7,2012,2012-02-07,The Lies of the Disbelievers (verses 180-185) - Arabic
121,0.957,0.833,64066,0.123,11GLJ7SfdaC5aJ9GdNELAR,0.986,7,0.139,-16.317,1,0.447,113.997,4,0.992,Mick Slocum,64066,0,2014,2014-01-01,So Long Mates - 01:04 Shortcut
122,0.782,0.548,132716,0.415,4zgd2Lfd1z1KzClGFASj8P,0.0,7,0.445,-21.052,0,0.945,94.994,4,0.438,Monique Marvez,132715,7,2017,2017-06-27,Don't Call Me a Couger Call Me What I Am Sore
